"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.553780500E0,2.757424476E-1,-4.892521749E-1,8.444934762E-1
1.563758500E0,1.218297714E-1,-6.371821994E-1,9.910896045E-1
1.573736500E0,1.868988662E-1,-4.474135928E-1,8.802866220E-1
1.583713500E0,4.105783269E-1,4.231980801E-2,4.673515749E-1
1.593691500E0,5.702047560E-1,5.246610126E-1,1.696809357E-1
1.603668500E0,8.747721861E-1,8.254553805E-1,2.509835458E-1
1.613646500E0,1.183147542E0,4.618011054E-1,-5.285871255E-1
1.623624500E0,1.250634936E0,3.326935606E-1,-1.180448760E0
1.633601500E0,7.139986063E-1,1.563772045E-1,-8.970798254E-1
1.643579500E0,-2.081499137E-1,-9.520904303E-2,-2.368122339E-3
1.653557500E0,-5.349179059E-1,-5.192545308E-1,1.059787956E0
1.663534500E0,-3.671267172E-1,-8.801547673E-1,1.643400890E0
1.673512500E0,-2.025517163E-1,-8.792800239E-1,1.871845173E0
1.683489500E0,5.650164485E-3,-8.067235328E-1,1.498772349E0
1.693467500E0,2.077391468E-1,-4.021093659E-1,5.716425133E-1
1.703445500E0,3.841326861E-1,2.975298674E-1,-3.982854331E-1
1.713422500E0,1.076793852E0,1.068821758E0,-1.745600279E0
1.723400500E0,1.322723065E0,1.127136625E0,-2.447455022E0
1.733378500E0,5.387507558E-1,4.267192733E-1,-1.922387921E0
1.743355500E0,-1.889086273E-1,-2.387688585E-1,-6.717795897E-1
1.753333500E0,-5.106249176E-1,-6.199079163E-1,6.448478991E-1
1.763310500E0,-5.391757022E-1,-5.798252530E-1,1.326230956E0
1.773288500E0,-4.247234724E-1,-3.922923294E-1,1.384714222E0
1.783266500E0,-3.585160343E-1,-2.955957547E-1,9.674206603E-1
1.793243500E0,-4.679482833E-2,-1.838825069E-1,1.118426174E-1
1.803221500E0,3.357569169E-1,-1.961717463E-1,-3.954986501E-1
1.813199500E0,3.758881120E-1,-1.394479072E-1,-2.128228623E-1
1.823176500E0,1.265064110E-1,1.207202987E-1,2.916480070E-1
1.833154500E0,-7.534765944E-2,4.279391487E-1,2.668792015E-1
1.843131500E0,-1.150224794E-1,2.346790235E-1,-6.864046454E-2
1.853109500E0,-1.508059774E-1,-1.308308655E-1,-4.311947322E-1
1.863087500E0,-1.591201334E-1,-2.013724060E-1,-5.026687574E-1
1.873064500E0,-1.092486463E-1,-2.021851690E-1,1.480462378E-1
1.883042500E0,6.630245537E-2,-1.221883884E-1,7.665062374E-1
1.893020500E0,4.368370029E-1,1.286233954E-1,7.240922892E-1
1.902997708E0,8.280283016E-1,3.584403129E-1,1.586086482E-1
1.912975708E0,8.046157578E-1,5.221774077E-1,-5.509153032E-1
1.922952708E0,3.035058680E-1,5.394151457E-1,-7.390640849E-1
1.932930708E0,-2.862843561E-1,3.313712128E-1,-5.685423195E-1
