"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.476107585E1,6.507686172E1,2.552577525E1,1.994133830E1,1.417959072E0,1.854007568E2,4.748651451E0,5.422999702E0
8.576106513E1,6.507684803E1,2.552577427E1,1.997595086E1,1.425978561E0,1.854007568E2,4.748651456E0,5.434868150E0
8.676105487E1,6.507683599E1,2.552576921E1,1.988645407E1,1.386030050E0,1.854007568E2,4.748651456E0,5.472204192E0
8.776104522E1,6.507682120E1,2.552576921E1,1.993358095E1,1.408832446E0,1.854007568E2,4.748651466E0,5.598863138E0
8.876103520E1,6.507680763E1,2.552576901E1,1.988202147E1,1.403762490E0,1.854007568E2,4.748651462E0,5.638270698E0
8.976102579E1,6.507679409E1,2.552576248E1,2.023244015E1,1.371358645E0,1.874174194E2,4.748651457E0,5.755940017E0
9.076101637E1,6.507678179E1,2.552575851E1,2.023277789E1,1.307089336E0,1.874174194E2,4.748651464E0,5.644574009E0
9.176100683E1,6.507676882E1,2.552575769E1,2.058974657E1,1.319231017E0,1.874174194E2,4.748651468E0,5.598949619E0
9.276099777E1,6.507675576E1,2.552575490E1,2.070697411E1,1.334634149E0,1.874174194E2,4.748651466E0,5.598880950E0
9.376098752E1,6.507674607E1,2.552574621E1,2.035658855E1,1.180933636E0,1.908848267E2,4.748651475E0,5.574347688E0
9.476097858E1,6.507673185E1,2.552574078E1,2.073721109E1,1.359671796E0,1.921884766E2,4.748651477E0,5.538311673E0
9.576096964E1,6.507672109E1,2.552573341E1,2.048168087E1,1.260352523E0,1.921884766E2,4.748651483E0,5.500381844E0
9.676096070E1,6.507670767E1,2.552572821E1,2.030565378E1,1.380564476E0,1.921884766E2,4.748651467E0,5.471560383E0
9.776095116E1,6.507669309E1,2.552572046E1,2.024350920E1,1.362933548E0,1.949047546E2,4.748651465E0,5.545481244E0
9.876094234E1,6.507667982E1,2.552570657E1,2.034297739E1,1.583975807E0,1.949047546E2,4.748651440E0,5.624456030E0
9.976093340E1,6.507666492E1,2.552569266E1,2.027110560E1,1.754582185E0,1.949047546E2,4.748651428E0,5.772195009E0
1.007609246E2,6.507665344E1,2.552567606E1,2.032484844E1,1.750251465E0,1.949047546E2,4.748651446E0,5.733545266E0
1.017609156E2,6.507664169E1,2.552566531E1,2.020742450E1,1.710615370E0,1.949047546E2,4.748651438E0,5.859202648E0
1.027609065E2,6.507662787E1,2.552565527E1,2.038798884E1,1.729890163E0,1.949047546E2,4.748651411E0,5.898287995E0
